eco	name	moves
A00	Uncommon Opening	a3
A40	Queen's Pawn	d4
A45	Indian Defense	d4 Nf6
B00	King's Pawn	e4
C20	King's Pawn Game	e4 e5
B10	Caro-Kann Defense	e4 c6
B01	Scandinavian Defense	e4 d5
B07	Pirc Defense	e4 d6
B20	Sicilian Defense	e4 c5
B21	Sicilian, Smith-Morra	e4 c5 d4
B23	Sicilian, Closed	e4 c5 Nc3
B27	Sicilian Defense	e4 c5 Nf3
B30	Sicilian, Old Sicilian	e4 c5 Nf3 Nc6
B50	Sicilian	e4 c5 Nf3 d6
B54	Sicilian, Open	e4 c5 Nf3 d6 d4 cxd4 Nxd4
B70	Sicilian, Dragon	e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6
B90	Sicilian, Najdorf	e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6
C00	French Defense	e4 e6
C02	French, Advance	e4 e6 d4 d5 e5
C10	French, Paulsen	e4 e6 d4 d5 Nc3
C60	Ruy Lopez	e4 e5 Nf3 Nc6 Bb5
C65	Ruy Lopez, Berlin	e4 e5 Nf3 Nc6 Bb5 Nf6
C68	Ruy Lopez, Exchange	e4 e5 Nf3 Nc6 Bb5 a6 Bxc6
C84	Ruy Lopez, Closed	e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O
C50	Italian Game	e4 e5 Nf3 Nc6 Bc4
C53	Giuoco Piano	e4 e5 Nf3 Nc6 Bc4 Bc5 c3
C55	Two Knights Defense	e4 e5 Nf3 Nc6 Bc4 Nf6
C44	Scotch Game	e4 e5 Nf3 Nc6 d4
C45	Scotch, Main Line	e4 e5 Nf3 Nc6 d4 exd4 Nxd4
C46	Four Knights Game	e4 e5 Nf3 Nc6 Nc3 Nf6
C30	King's Gambit	e4 e5 f4
C42	Petrov Defense	e4 e5 Nf3 Nf6
D00	Queen's Pawn Game	d4 d5
D02	London System	d4 d5 Nf3 Nf6 Bf4
D06	Queen's Gambit	d4 d5 c4
D07	Queen's Gambit, Chigorin	d4 d5 c4 Nc6
D10	Slav Defense	d4 d5 c4 c6
D20	Queen's Gambit Accepted	d4 d5 c4 dxc4
D30	Queen's Gambit Declined	d4 d5 c4 e6
D35	QGD, Exchange	d4 d5 c4 e6 cxd5 exd5
D70	Neo-Grünfeld	d4 Nf6 c4 g6 f3 d5
D80	Grünfeld Defense	d4 Nf6 c4 g6 Nc3 d5
E00	Catalan Opening	d4 Nf6 c4 e6 g3
E20	Nimzo-Indian Defense	d4 Nf6 c4 e6 Nc3 Bb4
E60	King's Indian Defense	d4 Nf6 c4 g6
E61	King's Indian, Classical	d4 Nf6 c4 g6 Nc3 Bg7 Nf3 O-O
A10	English Opening	c4
A15	English, Anglo-Indian	c4 Nf6
A20	English, King's English	c4 e5
A04	Réti Opening	Nf3
A05	Réti, King's Indian Attack	Nf3 Nf6 g3
A80	Dutch Defense	d4 f5
